Ctrl_1	Ctrl_2	Ctrl_3	Ctrl_4	Ctrl_5	Ctrl_6	UPF3B.KO_1	UPF3B.KO_2	UPF3B.KO_3	UPF3B.KO_4	UPF3B.KO_5	UPF3B.KO_6
ZFP69B-DT	0.132208864000291	0.0462271987208284	0.167370365360863	0.175210633600719	0.277338317611861	0.128720693907665	0.0732120328643574	0.0599824465088079	0.204363154997971	0.109144255467605	0.148022533286327	0.215334681995642
RPSAP56	0.648764534817545	0.872087137588407	0.662367253735363	0.711979738735053	0.50986168170886	0.54592178983964	0.517350648180512	0.74172473530262	0.630255858339776	0.703726379044578	0.770553719834698	0.678063840666254
C2orf81	0.223976338746272	0.247595215063925	0.439442989774718	0.44847835745455	0.323321759252502	0.222371301731541	0.509835403291308	0.27770556372363	0.213859267119971	0.332669334823927	0.230054735028035	0.53968170960851
SCO2	1.40897798078971	1.34860284846632	1.48866927576767	1.45787935498265	1.03698427526582	1.30636861931399	1.03461324558542	1.02864014547985	1.32132184729571	1.3225258501477	1.20401495201398	1.10350661230179
BCRP3	0.173716627830174	0.112904039129526	0.133712004533795	0.0747395174449991	0.109029563176092	0.0191068777338635	0.103485915952493	0.181973623466311	0.175493925977158	0.200777677283083	0.203225612588093	0.140696864644042
MSANTD7	5.39408014986567	5.34118006366065	5.40497456592921	5.4064179155094	5.45103397214507	5.24753043461962	5.30891102709064	5.32957184572312	5.30047645618496	5.3248807558785	5.31302120481819	5.30037066665242
MIR1281	0.253312637689613	0.257453374068206	0.263875740656527	0.194491708785963	0.170699425626872	0.271001876361155	0.133137558988118	0.117570253002036	0.194804123155945	0.0664722019755409	0.194170541436433	0.15972143477696
F10-AS2	0.319529602578864	0.379832168710684	0.539226880949189	0.586236613822161	0.42804710849731	0.302534800747537	0.375695707529144	0.44450927885366	0.726276537513986	0.880406979764608	0.30767243871746	0.418546567919415
CIROP	0.142698298894083	0.217610002883264	0.302255843639305	0.165472595444234	0.150434305404344	0.0931001646023771	0	0	0	0.119617933013418	0.0308444543430299	0
MIR106AHG	0.391662013264398	0.475846084187949	0.287026105364201	0.42418331371101	0.295907938645125	0.0840558966801156	0.209352502157078	0.398786044524081	0.204363154997971	0.258785051428507	0.389283026798213	0.362174277740113
EXOC3L2	0.970635926610958	0.852708446619441	1.00717700276491	1.18656443886176	0.737489070383075	0.965866010006805	0.539664310476508	0.421828792022059	0.480949430934638	0.305404212770487	0.676154329584924	0.517730109078867
C19orf85	0.0894714141158054	0.257453374068206	0.192108627456169	0.365851346304224	0.109029563176092	0.310311506879573	0.424475873478998	0.311000161716873	0.241978234291197	0.394352905102506	0.332643975538472	0.53968170960851
TCAF2C	0.0114921111041036	0.197267935103819	0.0992495914484745	0.365851346304224	0.286653005236541	0.111020361521089	0.142887540463253	0.226277073749228	0.185181332237359	0.210608991782236	0.185058276995048	0.121418064573705
LINC01902	0.121642604427303	0.227674479088438	0.0549806399902498	0.222938607597401	0.0984900044246385	0.119897673073646	0.236926107474407	0.343543685832362	0.374896344610986	0.541824054411398	0.349054725821294	0.402663704427124
MIR1244-2	7.02139388636487	7.03557650257019	6.98220677785705	7.02876141232448	7.16117052627835	7.06866735620479	7.09050538503321	7.01655384139565	7.04350217811854	7.12025603989655	6.9749577283092	7.08759672550151
MIR1244-4	3.24570630917548	3.26734105059463	3.16714608662174	3.3926462261888	3.18485329446129	3.12419724659989	3.18090215418822	3.29410804986456	3.44614437718465	3.24961374323923	3.12822056370462	3.40995089954817
PRIM2BP	0.434979420754291	0.475846084187949	0.500137547622307	0.725297978615175	0.730680180549372	0.629110051252287	0.700152626654324	0.789752470481175	0.542538284856776	0.35942872331247	0.669635874426662	0.465172216105216
MIR1244-3	3.68306193705837	3.75264735094674	3.5621695808483	3.76569335099789	3.62109825016439	3.63600527239609	3.71306507833255	3.68227360272019	3.83105080721726	3.77526196182816	3.67471023165257	3.89674796883807
PET100P1	3.30644586758582	3.25509238743131	3.4088004217463	3.34167171995416	3.26361699861468	3.44435612222707	3.26254451835638	3.38289665817109	3.35252628670922	3.08433708279955	3.25119130495704	3.04586725712414
CNTNAP3C	3.98289642112632	3.91014243320135	4.05335526812101	3.97250394270162	4.03236056331987	4.10754860162321	3.83309948836326	3.98976383051758	3.77201008950384	3.88216264817101	3.81348380289535	3.8477325153379
C13orf46	0.233821535743041	0.0462271987208284	0.0549806399902498	0.184883381491003	0.210395178236623	0.163482892608184	0.440376166540835	0.190943822813171	0.557533273366788	0.249277680321945	0.381326604901984	0.286300314228003
MIR4521	0.0894714141158054	0.112904039129526	0.133712004533795	0.0109170679437937	0.109029563176092	0.0657954669598873	0.0629779012928162	0.0599824465088079	0.105797156893805	0.15059032960814	0.119608134768792	0.041618477681318
IQCJ-SCHIP1	2.96899297248457	2.84857702701907	2.96547989534192	2.92326168779886	2.64789466718658	2.96457776526167	2.969797036979	2.88679664530759	2.78912429780857	2.95286915858133	3.06629412105584	2.90358403663983
KMT2CP4	0.110998386538503	0.134462001374613	0.248233173492714	0.26913805301425	0.0878728823070587	0.263009766264678	0.142887540463253	0.0794349169670498	0.241978234291197	0.35942872331247	0.0808302065233382	0.303509395158383
HYMAI	0.163451107149733	0.333983598043024	0.0905038056784222	0.260015761993955	0.129880466533524	0.302534800747537	0.0934650422588151	0.108130506348556	0.0852493095225263	0.130016121460945	0.148022533286327	0.15972143477696
CENPVL2	2.00542541751108	2.14103335991078	2.07866055188143	2.12093731132202	1.72936773101096	1.87436159670793	1.89600264664423	2.1752147547276	1.82740254721055	2.19401343241968	2.35825468395756	1.82035037152495
H2BC6-AS1	0.214063494545813	0.166206713527582	0.0992495914484745	0.085107396905033	0.0555445052555202	0.189015668958836	0.162192026330744	0.163864149492776	0.185181332237359	0.0336189056281067	0.349054725821294	0.101878147759588
GTF2IP12	2.6740857351817	2.78183901568821	2.79562355964939	2.53619457746119	2.59451571545365	2.56059217007238	3.65633328838066	3.71994540379444	3.76959745504946	3.80639024013814	3.61574279374116	3.54991991959213
FRG1FP	0.173716627830174	0.217610002883264	0.192108627456169	0.348742505289075	0.04460536718435	0.163482892608184	0.375695707529144	0.32736368420201	0.146035189157269	0.210608991782236	0.138613111684969	0.215334681995642
